idx,current_agent_name,best_agent_name,date,learning_rate,batch_size,round_num,play_num,train_epoch,train_buffer_size,PNN_loss,VNN_loss,train_loss,val_PNN_loss,val_VNN_loss,val_loss,win_num,lose_num,draw_num
61,60_4800_4880_7_21_14_58,60_4800_4880_7_21_14_58,7_21_15_19,0.001,32,16,80,1,238185,1.7502156496047974,0.6575899124145508,3.367884874343872,1.835891604423523,0.8464139699935913,3.641794443130493,11,5,0
62,61_4880_4960_7_21_15_19,61_4880_4960_7_21_15_19,7_21_15_50,0.001,32,16,80,1,241476,1.7069307565689087,0.6485925316810608,3.3144147396087646,1.8606382608413696,0.8538767099380493,3.6728146076202393,4,12,0
63,62_4880_5040_7_21_15_50,61_4880_4960_7_21_15_19,7_21_16_22,0.001,32,16,80,1,244721,1.7266508340835571,0.6755037307739258,3.3598620891571045,1.871956467628479,0.8273724913597107,3.656437397003174,4,12,0
64,63_4880_5120_7_21_16_22,61_4880_4960_7_21_15_19,7_21_16_48,0.001,32,16,80,1,247984,1.7454655170440674,0.6745827794075012,3.3765642642974854,1.9020469188690183,0.8306766748428345,3.688647508621216,3,13,0
65,64_4880_5200_7_21_16_48,61_4880_4960_7_21_15_19,7_21_17_19,0.001,32,16,80,1,251317,1.7891943454742432,0.6686360239982605,3.413166284561157,1.879074215888977,0.8096746802330017,3.643493413925171,4,12,0
66,65_4880_5280_7_21_17_19,61_4880_4960_7_21_15_19,7_21_17_53,0.001,32,16,80,1,254591,1.7372666597366333,0.6508795619010925,3.3422982692718506,1.87305235862732,0.8118618130683899,3.638471364974976,8,8,0
67,66_4880_5360_7_21_17_53,61_4880_4960_7_21_15_19,7_21_18_19,0.001,32,16,80,1,257873,1.7097760438919067,0.6528669595718384,3.315602779388428,1.8689836263656616,0.8576833605766296,3.6790292263031006,9,7,0
68,67_5360_5440_7_21_18_19,67_5360_5440_7_21_18_19,7_21_19_55,0.001,32,16,80,1,261495,1.767729640007019,0.6743147373199463,3.393821954727173,1.8547812700271609,0.8330999612808228,3.6390655040740967,6,10,0
69,68_5360_5520_7_21_19_55,67_5360_5440_7_21_18_19,7_21_20_34,0.001,32,16,80,1,265257,1.782572627067566,0.667876660823822,3.4010496139526367,1.85206151008606,0.823425829410553,3.6254944801330566,12,4,0
70,69_5520_5600_7_21_20_34,69_5520_5600_7_21_20_34,7_21_21_5,0.001,32,16,80,1,269000,1.719739317893982,0.6660329103469849,3.335190534591675,1.8488619327545168,0.8248854875564575,3.622568607330322,9,7,0
71,70_5600_5680_7_21_21_5,70_5600_5680_7_21_21_5,7_21_21_34,0.001,32,16,80,1,271767,1.7428220510482788,0.6743985414505005,3.3654532432556152,1.8789927959442139,0.8527919054031372,3.67941951751709,9,7,0
